state,city,popular_destination,latitude,longitude,interest,google_rating,price_fare
Gujarat,Bhuj,White Desert,23.2187507,69.73645,Natural Landscapes & Wildlife,4.6,0
Gujrat,Vadodara,Sayaji Baug Zoo,22.3115,73.19,Natural Landscapes & Wildlife,4.4,20
Gujrat,Vadodara,Inorbit Mall Vadodara,22.3114569,73.191386,Shopping & Markets,4.5,0
Gujrat,Vadodara,Baroda Museum &Gallery,22.3223271,73.1655842,"Arts, Science & Literature Attractions",4.5,5
Gujrat,Vadodara,BAPS Shri Swaminarayan Mandir,22.3117697,73.1887449,Religious & Spiritual Pilgrimages,4.5,0
Gujrat,Vadodara,Mandvi Gate,22.3001,73.2106,Cultural & Heritage Sites,4.4,0
Gujarat,Vadodara,Laxmi Vilas Palace,22.300138,73.2106478,Cultural & Heritage Sites,4.4,200
Gujrat,Somnath,Somnath Beach,22.2935993,73.1919074,Religious & Spiritual Pilgrimages,4.5,0
Gujarat,Somnath,Somnath Temple,20.8841837,70.405855,Religious & Spiritual Pilgrimages,4.8,0
Gujrat,Gandhinagar,Adalaj Stepwell,20.8879899,70.4012569,Cultural & Heritage Sites,4.5,0
Gujrat,Gandhinagar,Sarita Udyan,23.1667825,72.580464,Sightseeing & Exploration,4.4,0
Gujrat,Gandhinagar,Swaminarayan Akshardham,23.2031524,72.6589384,Religious & Spiritual Pilgrimages,4.6,0
Gujarat,Gandhinagar,Dandi Kutir,28.6126735,77.2772619,"Arts, Science & Literature Attractions",4.5,0
Gujarat,Ahmedabad,Sabarmati Riverfront,23.2328758,72.6311938,Sightseeing & Exploration,4.6,0
Gujarat,Ahmedabad,Manek Chowk,23.0234539,72.5766408,Shopping & Markets,4.4,0
Gujarat,Ahmedabad,Kankaria Lake,23.0231887,72.5879093,Natural Landscapes & Wildlife,4.5,10
Gujarat,Ahmedabad,Science City,23.0062573,72.6025503,"Arts, Science & Literature Attractions",4.4,500
Rajasthan,Jaipur,Birla Mandir,23.0714235,72.5167854,Religious & Spiritual Pilgrimages,4.6,0
Rajasthan,Jaipur,Shree Khole Ki Hanuman Mandir,26.907524,75.739639,Religious & Spiritual Pilgrimages,4.8,0
Rajasthan,Jaipur,Cental Park,26.9049,75.8087,Natural Landscapes & Wildlife,4.6,0
Rajasthan,Jaipur,Moti Dungri Ganesh Ji Temple,26.8947,75.8167,Religious & Spiritual Pilgrimages,4.8,0
Rajasthan,Jaipur,Jantar Mantar,26.8946582,75.8167154,"Arts, Science & Literature Attractions",4.5,0
Rajasthan,Jaipur,Amber Palace,28.6270547,77.2166267,Cultural & Heritage Sites,4.6,0
Rajasthan,Jaipur,Hawa Mahal,26.9854865,75.8513454,Cultural & Heritage Sites,4.4,50
Rajasthan,Udaipur ,Lake Pichola,26.9240458,75.8267144,Natural Landscapes & Wildlife,4.7,0
Rajasthan,Udaipur,Jagdish Temple,24.572,73.679,Religious & Spiritual Pilgrimages,4.7,0
Rajasthan,Udaipur,Ambrai Ghat,24.5796536,73.6836153,Sightseeing & Exploration,4.7,0
Rajasthan,Udaipur,Saheliyon ki Bari,24.5775547,73.6799021,Natural Landscapes & Wildlife,4.4,50
Rajasthan,Udaipur,Sajjangarh Monsoon Palace,24.6030064,73.6854901,Cultural & Heritage Sites,4.4,110
Rajasthan,Udaipur,Bagore ki Haveli,24.5931853,73.6396056,Cultural & Heritage Sites,4.5,30
Rajasthan,Udaipur,Karni Mata Temple,24.5800483,73.6822576,Religious & Spiritual Pilgrimages,4,0
Rajasthan,Udaipur,City Palace,27.7909349,73.3408256,Cultural & Heritage Sites,4.4,300
Rajasthan,Jaisalmer,Patwa Haweli,26.9164,70.9143,Cultural & Heritage Sites,4.3,40
Rajasthan,Jaisalmer,Longewala War memorial,26.911661,70.922928,Cultural & Heritage Sites,4.8,50
Rajasthan,Jaisalmer,Gadisar Lake,27.5229395,70.1564799,"Natural Landscapes & Wildlife, Sightseeing & Exploration",4.4,0
Rajasthan,Jaisalmer,Jaisalmer Fort,26.9085788,70.9231001,Cultural & Heritage Sites,4.4,50
Rajasthan,Ranthambore,Trinetra Ganesh Temple,26.9124555,70.9126093,Religious & Spiritual Pilgrimages,4.7,0
Rajasthan,Ranthambore,Ranthambore Fort,26.0174913,76.4532362,Cultural & Heritage Sites,4.5,0
Rajasthan,Ranthambore,Ranthambore National Park,26.0207552,76.4549695,"Natural Landscapes & Wildlife, Sightseeing & Exploration",4.6,500
Rajasthan,Ajmer,Adhai Din ka Jhopra,25.9775867,76.5532869,Cultural & Heritage Sites,4.4,50
Rajasthan,Ajmer,Anasagar Lake,26.455216,74.6251458,"Natural Landscapes & Wildlife, Sightseeing & Exploration",4.5,0
Rajasthan,Ajmer,Khwaja Gharib Nawaz Dargah ,26.4745925,74.6195474,Religious & Spiritual Pilgrimages,4.6,0
Rajasthan,Jodhpur,Jaswant Thada,21.0105397,75.5520299,Cultural & Heritage Sites,4.4,30
Rajasthan,Jodhpur,Umaid Bhawan Palace,26.3040998,73.0253613,Cultural & Heritage Sites,4.5,50
Rajasthan,Jodhpur,Mehrangarh Fort,26.2810298,73.0473022,Cultural & Heritage Sites,4.6,100
Rajasthan,Mount Abu,Nakki Lake,26.2978267,73.0180132,"Natural Landscapes & Wildlife, Sightseeing & Exploration",4.4,0
Rajasthan,Mount Abu,Sunset Point,24.5945112,72.7062297,"Natural Landscapes & Wildlife, Sightseeing & Exploration",0.4,0
Rajasthan,Mount Abu,Dilwara Temples,24.6094,72.723,"Religious & Spiritual Pilgrimages, Cultural & Heritage Sites",4.6,0
Rajasthan,Jaipur,Nahargarh Fort,24.609382,72.7229797,Cultural & Heritage Sites,4.6,100
Rajasthan,Jaipur,Jaigarh Fort,26.9401659,75.8170373,Cultural & Heritage Sites,4.5,35
Rajasthan,Udaipur,Lake Pichola,26.9816052,75.8447917,"Natural Landscapes & Wildlife, Sightseeing & Exploration",4.6,0
Punjab,Amritsar,Sadda Pind,31.63398,74.872261,Cultural & Heritage Sites,4.3,700
Punjab,Amritsar,Gobind Garh Fort,31.644012,74.8131795,Cultural & Heritage Sites,4.3,250
Punjab,Amritsar,Shri Durgiana Temple,31.6276227,74.8580233,Religious & Spiritual Pilgrimages,4.7,0
Punjab,Amritsar,Shree Harminder Sahib Gurudwara,31.6271534,74.8673445,Religious & Spiritual Pilgrimages,4.9,0
Punjab,Amritsar,The Partition Museum,31.6199803,74.8764849,"Arts, Science & Literature Attractions",4.6,50
Punjab,Amritsar,Golden Temple (Harmandir Sahib),31.6256935,74.8790091,Religious & Spiritual Pilgrimages,4.9,0
Punjab,Amritsar,Jallianwala Bagh,31.6199803,74.8764849,Cultural & Heritage Sites,4.8,0
Punjab,Amritsar,Wagah Border,31.6207396,74.8801655,"Adventure & Outdoor Activities, Sightseeing & Exploration",4.8,0
Punjab,Chandigarh, Japanese Garden,31.6048388,74.5740775,"Cultural & Heritage Sites, Natural Landscapes & Wildlife",4.3,0
Punjab,Chandigarh,Sector 17 Market,30.7395,76.7825,Shopping & Markets,4.4,0
Punjab,Chandigarh,ISKON temple,30.739471,76.7825333,Religious & Spiritual Pilgrimages,4.8,0
Punjab,Chandigarh,Terraced garden,30.7144,76.7716,Natural Landscapes & Wildlife,4.5,0
Punjab,Chandigarh,Government museum & Art gallery,30.445473,76.471285,"Arts, Science & Literature Attractions",4.4,60
Punjab,Chandigarh,Sukhna Lake,13.0716298,80.2567955,Natural Landscapes & Wildlife,4.6,0
Punjab,Chandigarh,Rock Garden,30.7421379,76.8187557,Sightseeing & Exploration,4.5,30
Kerala,Alappuzha,Shree Krishna Swamy Temple,30.752535,76.8101038,Religious & Spiritual Pilgrimages,4.6,0
Kerala,Alappuzha,Marari Beach,9.6008,76.2983,Natural Landscapes & Wildlife,4.5,0
Kerala,Alappuzha,International Coi Museum,9.6007506,76.2982585,"Arts, Science & Literature Attractions",4.3,0
Kerala,Alappuzha,Alleppey Backwater,9.5239,76.3568,Natural Landscapes & Wildlife,4.6,0
Kerala,Alappuzha,Chakkulathukavu Sree Bhagwathi Temple,9.5238612,76.3567633,Religious & Spiritual Pilgrimages,4.3,0
Kerala,Alappuzha,Mannarasala Sree Nagaraja Temple,9.3669421,76.5141883,Religious & Spiritual Pilgrimages,4.3,0
Kerala,Alappuzha,St.Andrew's Basilica,9.2896809,76.4456832,Religious & Spiritual Pilgrimages,4.7,0
Kerala,Alappuzha,Alappuzha Beach,9.6611287,76.3002896,Natural Landscapes & Wildlife,4.5,0
Kerala,Munnar,Pothamedu View Point,9.4927482,76.3177759,Sightseeing & Exploration,4.2,0
Kerala,Munnar,Eravikulam National Park,10.0596918,77.064076,Natural Landscapes & Wildlife,4.3,125
Kerala,Munnar,Mattupetty Dam,10.1453912,77.0366346,Sightseeing & Exploration,4.2,0
Kerala,Munnar,Munnar Tea Gardens,10.1063316,77.1238055,"Natural Landscapes & Wildlife, Sightseeing & Exploration",4.3,0
Kerala,Kochi,LuLu International Shopping Mall,10.0578407,77.0660813,Shopping & Markets,4.6,0
Kerala,Kochi,National Shrine Basilica of our Lady of Ransom,10.0271483,76.3081856,Religious & Spiritual Pilgrimages,4.8,0
Kerala ,Kochi,Mattancherry Palace,9.9583,76.2594,Cultural & Heritage Sites,4.2,2
Kerala,Kochi,Marine Drive Kochi,9.9582773,76.2593508,Sightseeing & Exploration,4.3,0
Kerala,Kochi,Chottanikara Bhagvathy Temple,9.9771685,76.2773228,Religious & Spiritual Pilgrimages,5,0
Kerala,Kochi,Hill Palace Museum,9.9331743,76.3905714,Cultural & Heritage Sites,4.3,0
Kerala,Kochi,Cherai Beach,9.952749,76.3638016,Natural Landscapes & Wildlife,4,0
Kerala,Kochi,Fort Kochi,10.1415953,76.1782833,Cultural & Heritage Sites,4.4,0
Kerala,Thiruvanthapuram,Attukal Bhagwathy Temple,9.9657787,76.2421147,Religious & Spiritual Pilgrimages,4.6,0
Kerala,Thiruvanthapuram,Kovalam Beach,8.4698623,76.9554858,Natural Landscapes & Wildlife,4.4,0
Kerala,Thiruvanthapuram,Thiruvanthapuram Zoological park,8.3837841,76.9804176,Natural Landscapes & Wildlife,4.2,200
Kerala,Thiruvanthapuram,Kanakakkunnu Palace,8.5105939,76.9549377,Cultural & Heritage Sites,4.5,0
Kerala,Thiruvanthapuram,Veli Lake Tourist Village,8.5107183,76.9581858,Sightseeing & Exploration,4.2,0
Kerala,Thiruvanthapuram,Napier Museum,8.5080206,76.8886702,"Arts, Science & Literature Attractions",4.4,70
Kerala,Thiruvananthapuram,Padmanabhaswamy Temple,8.5089657,76.955072,Religious & Spiritual Pilgrimages,4.7,0
Kerala,Kozhikode,HiLITE mall,8.4827779,76.9435906,Shopping & Markets,4.2,0
Kerala,Kozhikode,Mittayi Theravu -SM Street,11.2486583,75.833473,Shopping & Markets,4.5,0
Kerala,Kozhikode,Tali Maha Shiva Kshetram,11.2507622,75.7815607,Religious & Spiritual Pilgrimages,4.7,0
Kerala,Kozhikode,Sargaalaya Kerala Arts& Crafts village,11.2479375,75.7875625,"Arts, Science & Literature Attractions",4.3,50
Kerala,Kozhikode,Kozhikode Beach,11.5601151,75.6058617,Natural Landscapes & Wildlife,3.9,0
Kerala,Wayanad,Lakkidi View point,11.2626228,75.7673095,Sightseeing & Exploration,4.5,0
Kerala,Wayanad,Edakkal Caves,11.5121995,76.0189339,Natural Landscapes & Wildlife,4.1,70
Kerala,Wayanad,"Karapuzha Dam, adventure park, garden",11.6268407,76.234269,Adventure & Outdoor Activities,4.4,0
Kerala,Wayanad,Wayanad Wildlife Sanctuary,11.6182901,76.1678346,Natural Landscapes & Wildlife,4.5,300
Kerala,Kannur,Muzhappilangad Beach,11.6716011,76.3686564,Natural Landscapes & Wildlife,4.4,0
Kerala,Kannur,Parassini Madappura Sree Muthappan Temple,11.7932037,75.4441073,Religious & Spiritual Pilgrimages,4.4,0
Kerala,Kannur,St. Angelo Fort,11.9824702,75.402109,Cultural & Heritage Sites,4.4,20
Kerala,Kochi,Kerala Folklore Museum,11.8541418,75.3714455,Cultural & Heritage Sites,4.4,100
Kerala,Kochi,Wonderla Amusement Park,9.9330107,76.2989787,Adventure & Outdoor Activities,4.6,750
Karnataka,Mysore,Shri Chamundeshwari Temple,12.8349095,77.4009409,Religious & Spiritual Pilgrimages,4.7,0
Karnataka,Mysore,Chamundi Betta,12.2725036,76.6707154,Natural Landscapes & Wildlife,4.7,0
Karanataka,Mysore,Lokaranjan Aqua World Underwater zoo,12.2731672,76.6707435,Natural Landscapes & Wildlife,4.6,200
Karanataka,Mysore,Mysuru Railway museum,12.304807,76.6638086,"Arts, Science & Literature Attractions",4.4,50
Karnataka,Mysore,"Karanji Lake, boating, bird sanctuary",12.3163393,76.643323,"Natural Landscapes & Wildlife, Adventure & Outdoor Activities",4,0
Karnataka,Mysore,Mysore Palace,12.302778,76.673611,Cultural & Heritage Sites,4.6,25
Karanataka,Hampi,Virupaksha Temple,12.305163,76.6551749,Religious & Spiritual Pilgrimages,4.7,0
Karnataka,Hampi,Stone Chariot,15.3351333,76.4586529,Cultural & Heritage Sites,4.8,0
Karanataka,Hampi,Mathanga Hill,15.3316,76.4682,Natural Landscapes & Wildlife,4.8,0
Karnataka,Hampi,Shree Vijaya Vitthala Temple,15.3316387,76.4682381,Religious & Spiritual Pilgrimages,4.8,0
Karnataka,Hampi,Group of monuments at Hampi,15.3423099,76.475235,Cultural & Heritage Sites,4.7,30
Karnataka,Hampi,Lotus Mahal,15.3349769,76.4619233,Cultural & Heritage Sites,4.6,50
Karnataka,Hampi,Ajanadri Hills,15.3202851,76.4713243,Adventure & Outdoor Activities,4.7,0
Karnataka,Coorg,Raja's Seat garden,15.3548385,76.469264,Sightseeing & Exploration,4.4,0
Karnataka,Coorg,Nagarhole Tiger Reserve,12.4145674,75.7371014,Natural Landscapes & Wildlife,4.4,150
Karnataka,Coorg,Mallalli Falls,12.0734366,76.1510815,Natural Landscapes & Wildlife,4.6,0
Karnataka,Coorg,Brahmagiri Wildlife Sanctuary,12.680643,75.723667,Natural Landscapes & Wildlife,4.4,25
Karnataka,Coorg,Dubare Elephant camp and bathing spot,12.1726489,75.6440842,Natural Landscapes & Wildlife,4.1,20
Karnataka,Coorg,Coorg river rafting Barapole,12.371192,75.9051197,Adventure & Outdoor Activities,4.1,0
Karnataka,Coorg,Namdroling Monastery,12.3374942,75.8069082,"	Religious & Spiritual Pilgrimages",4.5,0
Karnataka,Coorg,Iruppu Falls-Brahmagiri,12.430628,75.9669536,Natural Landscapes & Wildlife,4.1,0
Karnataka,Chikmanglur,Bhadra wildlife sanctuary,11.9661026,75.9833292,Natural Landscapes & Wildlife,4.4,60
Karnataka,Chikmanglur,Shri Jagadguru Shankaracharya Peeta,13.6948738,75.635227,Religious & Spiritual Pilgrimages,4.8,0
Karnataka,Chikmanglur, Shri Annapurneshwari Devi Temple,13.4167132,75.2521434,Religious & Spiritual Pilgrimages,4.8,0
Karanataka,Chikmanglur,Sri Sharadamba Temple ,9.8121201,77.1747471,Religious & Spiritual Pilgrimages,4.8,0
Karnataka,Chikmanglur,Kallathigiri Falls,13.4161397,75.2512712,Natural Landscapes & Wildlife,4.2,0
Karanataka,Chikmanglur,Baba Budan Giri hills,13.5486112,75.7891482,Natural Landscapes & Wildlife,4.5,0
Karnataka,Chikmagalur,Mullayanagiri Betta,13.422865,75.7703876,Natural Landscapes & Wildlife,4.5,0
Karnataka,Badami,Sri Bhootanaatha Gudi,13.3908855,75.7213295,Religious & Spiritual Pilgrimages,4.7,0
Karnataka,Badami,Banashankari Devi Temple,15.9207886,75.6876704,Religious & Spiritual Pilgrimages,4.7,0
Karnataka,Badami,Badami Cave Temples,15.9183365,75.6839686,Religious & Spiritual Pilgrimages,4.6,30
Karnataka,Mangalore,Kadri Park,12.8889802,74.8562231,Sightseeing & Exploration,4.3,10
